,Annotations
group00531,"['Multidrug resistance protein ErmB']; ['None Provided']; ['drug resistance transporter, EmrB/QacA subfamily']; ['hypothetical protein', 'Multidrug resistance protein ErmB']; ['Multidrug resistance protein ErmB', 'Multidrug resistance protein ErmB', 'Multidrug resistance protein ErmB', 'Multidrug resistance protein ErmB']; ['Multidrug resistance protein B']; ['hypothetical protein']"
group00532,"['Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)']; ['Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)', 'Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)']"
group00533,"['Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)', 'Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)']; ['Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)']"
group00534,['None Provided']; ['Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)']
group00535,"['Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)']; ['Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)', 'None Provided']; ['Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16) / Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) / Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)']; ['Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) / Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)']"
group00536,"['None Provided']; ['GFO/IDH/MOCA family oxidoreductase', 'hypothetical protein']; ['GFO/IDH/MOCA family oxidoreductase']; ['oxidoreductase domain protein']; ['None Provided', 'None Provided', 'None Provided']; ['GFO/IDH/MOCA family oxidoreductase', 'None Provided']; ['None Provided', 'putative oxidoreductase']; ['None Provided', 'None Provided', 'None Provided', 'hypothetical protein']; ['None Provided', 'None Provided']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group00537,"['None Provided']; ['None Provided', 'Maltose operon transcriptional repressor MalR, LacI family', 'None Provided']; ['Maltose operon transcriptional repressor MalR, LacI family', 'None Provided']; ['hypothetical protein', 'Maltose operon transcriptional repressor MalR, LacI family', 'None Provided']; ['Transcriptional regulator of rhamnose utilization, LacI family', 'Transcriptional regulator of rhamnose utilization, LacI family', 'Transcriptional regulator, LacI family', 'Galactose operon repressor, GalR-LacI family of transcriptional regulators']; ['Transcriptional regulator of rhamnose utilization, LacI family', 'Transcriptional regulator, LacI family', 'hypothetical protein']; ['hypothetical protein', 'None Provided', 'Ribose operon repressor']; ['hypothetical protein', 'None Provided']; ['hypothetical protein']; ['hypothetical protein', 'Maltose operon transcriptional repressor MalR, LacI family']; ['Maltose operon transcriptional repressor MalR, LacI family']"
group00538,"['Arsenate reductase (EC 1.20.4.1)', 'Arsenate reductase (EC 1.20.4.1)']; ['Arsenate reductase (EC 1.20.4.1)']"
group00539,"['Alpha-glucosidase (EC 3.2.1.20)', 'Alpha-glucosidase (EC 3.2.1.20)', 'Alpha-glucosidase (EC 3.2.1.20)']; ['Alpha-glucosidase (EC 3.2.1.20)', 'Alpha-glucosidase (EC 3.2.1.20)']; ['Alpha-glucosidase (EC 3.2.1.20)']"
group00540,"['Putative deoxyribose-specific ABC transporter, permease protein']; ['Unspecified monosaccharide ABC transport system, permease component Ia (FIG025991) / Unspecified monosaccharide ABC transport system, permease component Ib (FIG143636)']; ['Unspecified monosaccharide ABC transport system, permease component 2']; ['None Provided', 'None Provided']; ['Nucleoside ABC transporter, permease protein 2']; ['hypothetical protein']; ['Nucleoside ABC transporter, permease protein 2', 'hypothetical protein']"
group00541,"['None Provided']; ['Putative deoxyribose-specific ABC transporter, permease protein']; ['Nucleoside ABC transporter, permease protein 1']; ['Nucleoside ABC transporter, permease protein 1', 'Putative deoxyribose-specific ABC transporter, permease protein']; ['Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)']; ['hypothetical protein', 'hypothetical protein']; ['None Provided', 'Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)']; ['hypothetical protein']"
group00542,"['Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)', 'Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)']; ['Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)']"
group00543,"['SOS-response repressor and protease LexA (EC 3.4.21.88)']; ['SOS-response repressor and protease LexA (EC 3.4.21.88)', 'SOS-response repressor and protease LexA (EC 3.4.21.88)']"
group00544,"['None Provided']; ['hypothetical protein', 'ComEC/Rec2-related protein']; ['DNA internalization-related competence protein ComEC/Rec2']; ['ComEC/Rec2-related protein']; ['hypothetical protein']"
group00545,['None Provided']; ['Lauroyl/myristoyl acyltransferase involved in lipid A biosynthesis (Lauroyl/myristoyl acyltransferase)']
group00546,['Homoserine O-acetyltransferase (EC 2.3.1.31)']
group00547,"['Iron-sulfur cluster assembly protein SufD']; ['Iron-sulfur cluster assembly protein SufD', 'Iron-sulfur cluster assembly protein SufD']"
group00548,"['Transcriptional regulator, IclR family']; ['Transcriptional regulator, IclR family', 'Transcriptional regulator, IclR family']"
group00549,"['None Provided']; ['Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives']"
group00550,['NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)']
group00551,['NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)']
group00552,"['None Provided']; ['CarD-like transcriptional regulator']; ['CarD-like transcriptional regulator', 'CarD-like transcriptional regulator']"
group00553,['ATP phosphoribosyltransferase (EC 2.4.2.17)']
group00554,"['2-isopropylmalate synthase (EC 2.3.3.13)', '2-isopropylmalate synthase (EC 2.3.3.13)']; ['2-isopropylmalate synthase (EC 2.3.3.13)']"
group00555,"['Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)', 'Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)']; ['Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)']"
group00556,"['FIG01121484: hypothetical protein']; ['hypothetical protein']; ['FIG01121484: hypothetical protein', 'FIG01121484: hypothetical protein']"
group00557,"['DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)']; ['DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)', 'DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)']; ['DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)', 'DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)', 'DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)']"
group00558,"[""DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)"", ""DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)"", ""DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)""]; [""DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)"", ""DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)""]; [""DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)""]"
group00559,"['None Provided']; ['None Provided', 'None Provided']; ['Cold shock protein CspA']"
group00560,['tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)']
group00561,"['GTP cyclohydrolase I (EC 3.5.4.16) type 1', 'GTP cyclohydrolase I (EC 3.5.4.16) type 1']; ['GTP cyclohydrolase I (EC 3.5.4.16) type 1']"
group00562,"['Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)', 'Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)']; ['Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)']"
group00563,"['5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)', '5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)', '5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)']; ['5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)']"
group00564,"['N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)']; ['N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)', 'N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)']"
group00565,"['Acetylglutamate kinase (EC 2.7.2.8)', 'Acetylglutamate kinase (EC 2.7.2.8)']; ['Acetylglutamate kinase (EC 2.7.2.8)']"
group00566,"['None Provided']; ['putative azaleucine resistance protein AzlC']; ['AzlC protein']; ['AzlC family protein']; ['None Provided', 'None Provided']; ['FIG01121655: hypothetical protein']; ['hypothetical protein']"
group00567,"['Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase', 'Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase']; ['Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase']"
group00568,['None Provided']; ['COG0488: ATPase components of ABC transporters with duplicated ATPase domains']; ['ABC transporter ATP-binding protein']
group00569,"['Phosphoserine aminotransferase (EC 2.6.1.52)', 'Phosphoserine aminotransferase (EC 2.6.1.52)']; ['Phosphoserine aminotransferase (EC 2.6.1.52)']"
group00570,"['Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)']; ['Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)', 'Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)']"
group00571,"['None Provided']; ['hypothetical protein', 'hypothetical protein', 'hypothetical protein', 'hypothetical protein']; ['hypothetical protein']; ['PROBABLE CONSERVED INTEGRAL MEMBRANE ALANINE AND LEUCINE RICH PROTEIN']"
group00572,"['WhiB-like transcription regulator', 'WhiB-like transcription regulator']; ['WhiB-like transcription regulator']"
group00573,"['Deoxycytidine triphosphate deaminase (EC 3.5.4.13)', 'Deoxycytidine triphosphate deaminase (EC 3.5.4.13)']; ['Deoxycytidine triphosphate deaminase (EC 3.5.4.13)']; ['Deoxycytidine triphosphate deaminase (EC 3.5.4.30) (dUMP-forming)']"
group00574,"['1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)', '1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)']; ['1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)']"
group00575,"['2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)']"
group00576,"['None Provided']; ['Lon-like protease with PDZ domain', 'hypothetical protein']; ['Lon-like protease with PDZ domain']"
group00577,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group00578,['Hemolysins and related proteins containing CBS domains']
group00579,"['Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)']; ['Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)', 'Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)']"
group00580,['LSU ribosomal protein L13p (L13Ae)']
group00581,['None Provided']; ['Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)']; ['hypothetical protein']
group00582,['Cysteinyl-tRNA synthetase (EC 6.1.1.16)']
group00583,"['tRNA dihydrouridine synthase B (EC 1.-.-.-)']; ['tRNA dihydrouridine synthase B (EC 1.-.-.-)', 'None Provided']"
group00584,"['Tyrosyl-tRNA synthetase (EC 6.1.1.1)', 'Tyrosyl-tRNA synthetase (EC 6.1.1.1)']; ['Tyrosyl-tRNA synthetase (EC 6.1.1.1)']"
group00585,['CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)']
group00586,['probable iron binding protein from the HesB_IscA_SufA family']
group00587,"['Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)']; ['Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)']"
group00588,['None Provided']; ['Arogenate dehydrogenase (EC 1.3.1.43)']
group00589,"['Endonuclease IV (EC 3.1.21.2)']; ['Endonuclease IV (EC 3.1.21.2)', 'Endonuclease IV (EC 3.1.21.2)']"
group00590,"['Copper resistance protein D', 'Copper resistance protein D']; ['Copper resistance protein D']; ['hypothetical protein']"
group00591,"['FIG01121218: hypothetical protein', 'FIG01121218: hypothetical protein', 'FIG01121218: hypothetical protein', 'FIG01121218: hypothetical protein']; ['FIG01121218: hypothetical protein', 'FIG01121218: hypothetical protein']; ['FIG01121218: hypothetical protein']"
group00592,"['None Provided']; ['comE operon protein 1, putative']; ['Late competence protein ComEA, DNA receptor']; ['hypothetical protein']; ['competence protein']; ['hypothetical protein', 'None Provided']"
group00593,['Ribonucleotide reductase transcriptional regulator NrdR']
group00594,['SSU ribosomal protein S11p (S14e)']
group00595,['SSU ribosomal protein S13p (S18e)']
group00596,['Ribonuclease PH (EC 2.7.7.56)']
group00597,"['None Provided']; ['FIG01124839: hypothetical protein']; ['integral membrane transport protein', 'None Provided']; ['putative integral membrane protein.', 'None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein', 'None Provided']; ['integral membrane transport protein']; ['hypothetical protein']; ['putative integral membrane protein.']"
group00598,"['Rhodanese domain protein UPF0176, Actinobacterial subgroup']"
group00599,"['None Provided', 'None Provided']; ['Glucose-6-phosphate isomerase (EC 5.3.1.9)', 'None Provided']; ['Glucose-6-phosphate isomerase (EC 5.3.1.9)']"
group00600,['Glycine cleavage system H protein']
group00601,"['None Provided']; ['Thiamine-monophosphate kinase (EC 2.7.4.16)', 'Thiamine-monophosphate kinase (EC 2.7.4.16)']; ['Thiamine-monophosphate kinase (EC 2.7.4.16)']"
group00602,"['Endonuclease III (EC 4.2.99.18)', 'Endonuclease III (EC 4.2.99.18)']; ['Endonuclease III (EC 4.2.99.18)']"
group00603,"['ABC-type multidrug transport system, permease component', 'None Provided']; ['hypothetical protein']; ['ABC-type multidrug transport system, permease component']"
group00604,"['None Provided']; ['Methionine ABC transporter ATP-binding protein']; ['ABC transporter, ATP-binding protein']; ['ABC-type multidrug transport system, ATPase component']; ['ABC transporter']"
group00605,"['None Provided']; ['Heat shock protein HtpX (EC 3.4.24.-)']; ['hypothetical protein', 'Heat shock protein HtpX (EC 3.4.24.-)']; ['hypothetical protein', 'hypothetical protein']; ['Peptidase M48, Ste24p precursor']; ['hypothetical protein']"
group00606,['Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)']
group00607,"['Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type', 'Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type']; ['Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type']"
group00608,"['None Provided']; ['NADH:flavin oxidoreductases, Old Yellow Enzyme family']; ['2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)', '2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)']; ['NADH-dependent flavin oxidoreductase', 'oxidoreductase', 'probable bifunctional hydroxylase/oxidoreductase']; ['NADH-dependent flavin oxidoreductase']; ['NADH-dependent flavin oxidoreductase', 'None Provided', 'probable bifunctional hydroxylase/oxidoreductase', 'oxidoreductase']; ['hypothetical protein']"
group00609,"['None Provided']; ['Response regulator receiver:Transcriptional regulatory protein, C- terminal']; ['Phosphate regulon transcriptional regulatory protein PhoB (SphR)']; ['DNA-binding response regulator mtrA']; ['hypothetical protein']; ['Two component sensory transduction transcriptional regulatory protein MtrA']"
group00610,['DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)']
group00611,['Preprotein translocase secY subunit (TC 3.A.5.1.1)']
group00612,"[""Inosine-5'-monophosphate dehydrogenase, catalytic domain (EC 1.1.1.205)""]"
group00613,"['LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent', 'LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent']; ['LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent']"
group00614,"['Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)', 'Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)']; ['Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)']; ['Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)', 'Decarboxylase, pyridoxal-dependent']; ['Decarboxylase, pyridoxal-dependent']"
group00615,"['Adenosine deaminase (EC 3.5.4.4)', 'Adenosine deaminase (EC 3.5.4.4)']; ['Adenosine deaminase (EC 3.5.4.4)']"
group00616,['Translation initiation factor 1']
group00617,['NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)']
group00618,['LSU ribosomal protein L17p']
group00619,['tRNA pseudouridine synthase A (EC 4.2.1.70)']
group00620,"['Cytochrome c-type biogenesis protein CcdA (DsbD analog)', 'Cytochrome c-type biogenesis protein CcdA (DsbD analog)']; ['Cytochrome c-type biogenesis protein CcdA (DsbD analog)']"
group00621,['None Provided']; ['CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)']
group00622,['LSU ribosomal protein L34p']
group00623,"['cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases']; ['cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases', 'cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases']"
group00624,"['Dihydroneopterin aldolase (EC 4.1.2.25) / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)']; ['2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)', '2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)']; ['2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)']"
group00625,"['None Provided']; ['Dihydroneopterin aldolase (EC 4.1.2.25)', 'Dihydroneopterin aldolase (EC 4.1.2.25)']; ['Dihydroneopterin aldolase (EC 4.1.2.25)']; ['Dihydroneopterin aldolase (EC 4.1.2.25)', 'None Provided']"
group00626,['None Provided']; ['GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)']; ['hypothetical protein']; ['Glutamine amidotransferase class-I (EC 6.3.5.2)']
group00627,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group00628,"['Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)', 'Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)']; ['None Provided']; ['Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)', 'Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)', 'Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)']; ['Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)']"
