,Annotation
group01591,"Glucosamine-6-phosphate deaminase isomerizing, alternative (EC 3.5.99.6)"
group01592,putative secreted oxidoreductase
group01593,None Provided
group01594,Enoyl-CoA hydratase (EC 4.2.1.17)
group01595,hypothetical protein
group01596,hypothetical protein
group01597,None Provided
group01598,Glycosyltransferase
group01599,None Provided
group01600,None Provided
group01601,"Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)"
group01602,"Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family"
group01603,None Provided
group01604,None Provided
group01605,None Provided
group01606,None Provided
group01607,Carboxyl-terminal protease (EC 3.4.21.102)
group01608,hypothetical protein
group01609,Inosose dehydratase (EC 4.2.1.44)
group01610,Benzoate transport protein
group01611,hypothetical protein
group01612,None Provided
group01613,hypothetical protein
group01614,hypothetical protein
group01615,None Provided
group01616,None Provided
group01617,probable DNA alkylation repair enzyme
group01618,None Provided
group01619,"Transporter, LysE family"
group01620,None Provided
group01621,None Provided
group01622,FAD-dependent oxidoreductase
group01623,Agmatinase (EC 3.5.3.11)
group01624,None Provided
group01625,None Provided
group01626,Cell division protein FtsI Peptidoglycan synthetase (EC 2.4.1.129)
group01627,None Provided
group01628,None Provided
group01629,None Provided
group01630,None Provided
group01631,hypothetical protein
group01632,None Provided
group01633,None Provided
group01634,mandelate racemase/muconate lactonizing enzyme family protein
group01635,None Provided
group01636,hypothetical protein
group01637,ABC transporter permease protein
group01638,None Provided
group01639,Cysteine synthase (EC 2.5.1.47)
group01640,Putative stomatin/prohibitin-family membrane protease subunit YbbK
group01641,NAD-dependent dehydrogenase (EC 1.1.1.18)
group01642,None Provided
group01643,None Provided
group01644,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01645,None Provided
group01646,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)
group01647,Substrate-binding region of ABC-type glycine betaine transport system
group01648,None Provided
group01649,None Provided
group01650,hypothetical protein
group01651,"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
group01652,UDP-glucuronate decarboxylase (EC 4.1.1.35)
group01653,FIG01043527: hypothetical protein
group01654,"COG0553: Superfamily II DNA/RNA helicases, SNF2 family"
group01655,None Provided
group01656,LSU ribosomal protein L32p
group01657,None Provided
group01658,None Provided
group01659,None Provided
group01660,"aminotransferase, class III"
group01661,RelE/StbE replicon stabilization toxin
group01662,None Provided
group01663,hypothetical protein
group01664,Phenazine biosynthesis protein PhzF like
group01665,Uncharacterized protein conserved in bacteria
group01666,TPP-requiring enzyme co-localized with putative O-antigen rfb gene cluster
group01667,"Death on curing protein, Doc toxin"
group01668,hypothetical protein
group01669,None Provided
group01670,None Provided
group01671,"ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)"
group01672,None Provided
group01673,tRNA-dependent lipid II--amino acid ligase
group01674,hypothetical protein
group01675,None Provided
group01676,5-deoxy-glucuronate isomerase (EC 5.3.1.-)
group01677,2-methylcitrate dehydratase (EC 4.2.1.79)
group01678,None Provided
group01679,Permease of the drug/metabolite transporter (DMT) superfamily
group01680,hypothetical protein
group01681,Fumarylacetoacetate hydrolase family protein
group01682,UDP-glucose 4-epimerase (EC 5.1.3.2)
group01683,Fe-S oxidoreductase
group01684,Permease of the drug/metabolite transporter (DMT) superfamily
group01685,hypothetical protein
group01686,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01687,None Provided
group01688,Glyoxalase family protein
group01689,hypothetical protein
group01690,None Provided
group01691,hypothetical protein
group01692,hypothetical protein
group01693,"PQQ-dependent oxidoreductase, gdhB family"
group01694,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
group01695,None Provided
group01696,None Provided
group01697,"Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF"
group01698,hypothetical protein
group01699,None Provided
group01700,None Provided
group01701,None Provided
group01702,None Provided
group01703,None Provided
group01704,Myo-inositol 2-dehydrogenase (EC 1.1.1.18)
group01705,hypothetical protein
group01706,None Provided
group01707,None Provided
group01708,None Provided
group01709,None Provided
group01710,None Provided
group01711,"Electron transfer flavoprotein, alpha subunit"
group01712,"Electron transfer flavoprotein, beta subunit"
group01713,D-amino-acid oxidase (EC 1.4.3.3)
group01714,None Provided
group01715,None Provided
group01716,"N-Acetyl-D-glucosamine ABC transport system, permease protein 1"
group01717,None Provided
group01718,"Anaerobic dehydrogenases, typically selenocysteine-containing"
group01719,None Provided
group01720,"UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)"
group01721,None Provided
group01722,hypothetical protein
group01723,Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)
group01724,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01725,None Provided
group01726,Putative secreted amidase SCO6344
group01727,None Provided
group01728,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
group01729,None Provided
group01730,salicylate esterase
group01731,None Provided
group01732,hypothetical protein
group01733,S-adenosylmethionine-dependent methyltransferase YaeB
group01734,None Provided
group01735,None Provided
group01736,"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type"
group01737,None Provided
group01738,None Provided
group01739,None Provided
group01740,None Provided
group01741,Pullulanase (EC 3.2.1.41)
group01742,"CAAX prenyl protease 1, putative"
group01743,Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)
group01744,Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)
group01745,Putative preQ0 transporter
group01746,None Provided
group01747,hypothetical protein
group01748,None Provided
group01749,None Provided
group01750,Proline iminopeptidase (EC 3.4.11.5)
group01751,Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)
group01752,None Provided
group01753,hypothetical protein
group01754,Nucleoside-diphosphate-sugar epimerases
group01755,Flagelliform silk protein
group01756,None Provided
group01757,DNA repair protein RadA
group01758,None Provided
group01759,None Provided
group01760,None Provided
group01761,None Provided
group01762,Ornithine cyclodeaminase (EC 4.3.1.12)
group01763,None Provided
group01764,Monoamine oxidase (1.4.3.4)
group01765,Alpha-methylacyl-CoA racemase (EC 5.1.99.4)
group01766,hypothetical protein
group01767,putative integral membrane protein
group01768,5-methylthioadenosine phosphorylase (EC 2.4.2.28)
group01769,Muconate cycloisomerase (EC 5.5.1.1)
group01770,None Provided
group01771,hypothetical protein
group01772,Cell division protein FtsH (EC 3.4.24.-)
group01773,hypothetical protein
group01774,None Provided
group01775,None Provided
group01776,hypothetical protein
group01777,None Provided
group01778,None Provided
group01779,hypothetical protein
group01780,hypothetical protein
group01781,Permease of the drug/metabolite transporter (DMT) superfamily
group01782,hypothetical protein
group01783,None Provided
group01784,hypothetical protein
group01785,hypothetical protein
group01786,6-deoxy-6-sulphofructose-1-phosphate aldolase
group01787,None Provided
group01788,Tricarboxylate transport membrane protein TctA
group01789,surface antigen gene
group01790,Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)
group01791,dehydrogenase
group01792,None Provided
group01793,L-rhamnose mutarotase
group01794,None Provided
group01795,Short-chain dehydrogenase/reductase SDR
group01796,FIG01043157: hypothetical protein
group01797,Aldehyde dehydrogenase (EC 1.2.1.3)
group01798,"Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), dihydroxyacetone binding subunit DhaK"
group01799,None Provided
group01800,hypothetical protein
group01801,Probable dipeptidyl aminopeptidase
group01802,Carboxymuconolactone decarboxylase
group01803,Inositol transport system permease protein
group01804,None Provided
group01805,None Provided
group01806,D-arabino-3-hexulose 6-phosphate formaldehyde-lyase (EC 4.1.2.43)
group01807,Acetoacetyl-CoA synthetase (EC 6.2.1.16)
group01808,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01809,None Provided
group01810,None Provided
group01811,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01812,None Provided
group01813,NAD-dependent formate dehydrogenase gamma subunit
group01814,hypothetical protein
group01815,hypothetical protein
group01816,None Provided
group01817,Sugar phosphate isomerases/epimerases
group01818,"Tagatose 1,6-bisphosphate aldolase (EC 4.1.2.40)"
group01819,None Provided
group01820,Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)
group01821,Glycerol-1-phosphate dehydrogenase NAD(P) (EC 1.1.1.261)
group01822,None Provided
group01823,"Indoleamine 2,3-dioxygenase (EC 1.13.11.52)"
group01824,Asparagine synthetase glutamine-hydrolyzing (EC 6.3.5.4)
group01825,5-keto-2-deoxy-D-gluconate-6 phosphate aldolase form 2 (EC 4.1.2.29)
group01826,None Provided
group01827,None Provided
group01828,None Provided
group01829,"Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family"
group01830,Mg(2+)-transport-ATPase-associated protein MgtC
group01831,None Provided
group01832,hypothetical protein
group01833,None Provided
group01834,Multidrug resistance protein
group01835,None Provided
group01836,None Provided
group01837,hypothetical protein
group01838,None Provided
group01839,FIG01021848: hypothetical protein
group01840,Na+/H+ antiporter NhaD type
group01841,"D,D-heptose 7-phosphate kinase"
group01842,None Provided
group01843,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
group01844,None Provided
group01845,hypothetical protein
group01846,hypothetical protein
group01847,Ribulokinase (EC 2.7.1.16)
group01848,hypothetical protein
group01849,None Provided
group01850,hypothetical protein
group01851,Gamma-glutamyltranspeptidase (EC 2.3.2.2)
group01852,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
group01853,"Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)"
group01854,None Provided
group01855,putative cytochrome P450 hydroxylase
group01856,None Provided
group01857,hypothetical protein
group01858,None Provided
group01859,hypothetical protein
group01860,"Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon"
group01861,Alkylphosphonate utilization operon protein PhnA
group01862,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01863,None Provided
group01864,hypothetical protein
group01865,hypothetical protein
group01866,hypothetical protein
group01867,None Provided
group01868,None Provided
group01869,None Provided
group01870,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01871,None Provided
group01872,Acetolactate synthase large subunit (EC 2.2.1.6)
group01873,Rhamnulokinase (EC 2.7.1.5)
group01874,None Provided
group01875,hypothetical protein
group01876,None Provided
group01877,DUF1801 domain-containing protein
group01878,None Provided
group01879,conserved hypothetical protein
group01880,None Provided
group01881,hypothetical protein
group01882,None Provided
group01883,hypothetical protein
group01884,None Provided
group01885,None Provided
group01886,None Provided
group01887,"Transcriptional regulator, XRE family"
group01888,hypothetical protein
group01889,None Provided
group01890,None Provided
group01891,"Predicted N-acetyl-glucosamine kinase 2, ROK family (EC 2.7.1.59)"
group01892,None Provided
group01893,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)
group01894,None Provided
group01895,FIG01121507: hypothetical protein
group01896,None Provided
group01897,hypothetical protein
group01898,"aldo-keto reductase domain / RidA/YER057c/UK114 superfamily, group 6"
group01899,ThiJ/PfpI family protein
group01900,None Provided
group01901,hypothetical protein
group01902,None Provided
group01903,None Provided
group01904,None Provided
group01905,MaoC domain protein dehydratase
group01906,None Provided
group01907,"Transketolase, C-terminal section (EC 2.2.1.1)"
group01908,Aldehyde dehydrogenase B (EC 1.2.1.22)
group01909,None Provided
group01910,None Provided
group01911,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
group01912,None Provided
group01913,None Provided
group01914,Phage tail fiber protein
group01915,None Provided
group01916,None Provided
group01917,hypothetical protein
group01918,None Provided
group01919,None Provided
group01920,None Provided
group01921,putative ABC transporter
group01922,None Provided
group01923,"Transcriptional regulator, HxlR family"
group01924,hypothetical protein
group01925,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)
group01926,Sulfide:quinone oxidoreductase
group01927,hypothetical protein
group01928,None Provided
group01929,None Provided
group01930,hypothetical protein
group01931,Inositol transport system sugar-binding protein
group01932,None Provided
group01933,hypothetical protein
group01934,hypothetical protein
group01935,None Provided
group01936,None Provided
group01937,"Sulfate transporter, CysZ-type"
group01938,N-Acetylneuraminate cytidylyltransferase (EC 2.7.7.43)
group01939,None Provided
group01940,None Provided
group01941,None Provided
group01942,None Provided
group01943,hypothetical protein
group01944,hypothetical protein
group01945,Lytic enzyme
group01946,None Provided
group01947,None Provided
group01948,None Provided
group01949,None Provided
group01950,NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)
group01951,None Provided
group01952,None Provided
group01953,"GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I"
group01954,hypothetical protein
group01955,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases; sulfonate monooxygenase"
group01956,L-arabinose isomerase (EC 5.3.1.4)
group01957,None Provided
group01958,None Provided
group01959,None Provided
group01960,hypothetical protein
group01961,None Provided
group01962,Inosose isomerase (EC 5.3.99.-)
group01963,None Provided
group01964,None Provided
group01965,None Provided
group01966,hypothetical protein
group01967,Transposase
group01968,None Provided
group01969,None Provided
group01970,hypothetical protein
group01971,None Provided
group01972,None Provided
group01973,None Provided
group01974,None Provided
group01975,None Provided
group01976,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)
group01977,Acetohydroxy acid synthase
group01978,L-rhamnose isomerase (EC 5.3.1.14)
group01979,"Predicted L-rhamnose ABC transporter, substrate-binding component"
group01980,"N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein"
